,Time Difference,user.screen_name
0,0 days 00:00:23.000000000,GreatLee_Johnny
3,0 days 00:01:04.000000000,patriot_girl_77
6,0 days 00:01:13.000000000,OkanaganSunny
12,0 days 00:03:20.000000000,strati
20,0 days 00:05:10.000000000,rightknight2015
22,0 days 00:05:42.000000000,Inflagrante411
24,0 days 00:06:02.000000000,Thatslife528hz
25,0 days 00:06:21.000000000,AsianGirlNaked
26,0 days 00:06:30.000000000,laurieray
32,0 days 00:08:22.000000000,KallyElizabeth
43,0 days 00:11:00.000000000,benkaldwurse
44,0 days 00:11:39.000000000,effiekling
50,0 days 00:13:27.000000000,saraemmaanne
52,0 days 00:13:44.000000000,loramarie77
54,0 days 00:14:10.000000000,steves1115
55,0 days 00:14:12.000000000,aleixakei
64,0 days 00:18:01.000000000,KaniaLuke
65,0 days 00:18:08.000000000,SAKREV
66,0 days 00:18:22.000000000,cakeordeath22
68,0 days 00:19:44.000000000,Ih8heels
72,0 days 00:22:02.000000000,JenniferDrct
75,0 days 00:23:01.000000000,stephieRN10
89,0 days 00:27:22.000000000,WayneHammons24
96,0 days 00:29:29.000000000,TheHomeboyChris
97,0 days 00:29:41.000000000,AIRSTREAM4US
99,0 days 00:30:08.000000000,SuzannaChaparro
119,0 days 00:39:46.000000000,JessicaCavie
120,0 days 00:40:12.000000000,debbiedo58
125,0 days 00:42:53.000000000,union2223
135,0 days 00:46:16.000000000,NewRoodawg1971
142,0 days 00:49:36.000000000,ZarleyZalapski2
152,0 days 00:53:00.000000000,SteveZychal
153,0 days 00:53:13.000000000,DonaldT4Prez
166,0 days 01:01:04.000000000,jonlen1
169,0 days 01:02:20.000000000,arronaquaudrt
170,0 days 01:03:57.000000000,DaveDavidMiller
172,0 days 01:04:46.000000000,vcegda9999
173,0 days 01:05:21.000000000,red_ice_prince
176,0 days 01:06:07.000000000,jpvr80
183,0 days 01:11:06.000000000,BarrySoetoroESQ
190,0 days 01:14:23.000000000,TheWayOfMatt
191,0 days 01:14:28.000000000,PsychicDogTalk3
194,0 days 01:16:47.000000000,bigdaddycuemast
206,0 days 01:21:04.000000000,HarroldWSmith
209,0 days 01:22:23.000000000,eddiefitz51
211,0 days 01:23:19.000000000,AaronJFrostJr1
214,0 days 01:24:35.000000000,C_Alincic
228,0 days 01:33:15.000000000,dawnyoung1974
231,0 days 01:34:36.000000000,SingleCulture
237,0 days 01:38:17.000000000,rebani
243,0 days 01:42:30.000000000,cwprolifer
244,0 days 01:42:46.000000000,Truee__Rockoo
250,0 days 01:44:48.000000000,DancrDave
251,0 days 01:45:09.000000000,CrusaderSpartan
255,0 days 01:46:57.000000000,amerycarlson
256,0 days 01:47:06.000000000,Beverly33444567
262,0 days 01:49:27.000000000,shumiaka17
274,0 days 01:54:48.000000000,TribalCoin
282,0 days 02:02:31.000000000,ASlatzer
283,0 days 02:03:26.000000000,gypsyof7
286,0 days 02:03:59.000000000,travismfreitag
294,0 days 02:10:49.000000000,Watkinsmfg
304,0 days 02:24:44.000000000,tabathamarieee
307,0 days 02:28:58.000000000,pundit_2016
310,0 days 02:37:02.000000000,SheeitDawg
313,0 days 02:38:18.000000000,AnnJone70245663
314,0 days 02:38:20.000000000,hmi_darryl
316,0 days 02:39:28.000000000,BellaDashwood
320,0 days 02:44:11.000000000,RightWing_Diva
321,0 days 02:44:26.000000000,emily_karaa
328,0 days 02:55:34.000000000,Marjorie_Sarti
334,0 days 03:00:27.000000000,TWEETLEYYOURS
335,0 days 03:01:07.000000000,AtonXVIII
339,0 days 03:09:29.000000000,giifarin
346,0 days 03:23:21.000000000,PrepperSilver
347,0 days 03:24:15.000000000,templedange
