Folder,Retweet Count,Time Difference,Estimated Time,Total Retweeted,Retweeted Followers,Retweeter Followers,AVG 
data1184,1,00:00:01,1,3558,109288,,
data857,1,00:00:04,4,1698,253966,,
data862,1,00:00:05,5,1108,141084,,
data828,1,00:00:09,9,2945,96771,,
data868,1,00:00:10,10,8170,51129,,
data898,1,00:00:10,10,1533,503441,,
data831,1,00:00:11,11,2366,58089,,
data848,1,00:00:11,11,1092,106126,,
data849,1,00:00:11,11,3089,2550458,,
data822,1,00:00:13,13,1106,444148,,
data853,1,00:00:13,13,1399,207630,,
data830,1,00:00:17,17,2357,24723,,
data870,1,00:00:17,17,5251,5143,,
data842,1,00:00:18,18,1500,44842,,
data845,1,00:00:19,19,4131,23236,,
data941,1,00:00:24,24,1489,16122,,
data872,1,00:00:27,27,1319,22835,,
data840,1,00:00:29,29,2775,62,,
data866,1,00:00:52,52,1501,9966,,
data829,1,00:01:07,67,1008,44844,,
data860,1,00:19:15,1155,3259,546911,,
data839,1,00:36:48,2208,2699,4461,,
795961436279336960,1,00:00:13,,1106,444317,2167,
795970006475567104,1,00:00:09,,2945,98146,390,
795970323325796356,1,00:01:07,,1008,44857,3987262,
795970843948023808,1,00:00:17,,2357,24962,88,
795971302666420224,1,00:00:11,,2366,58505,416,
795976218986377220,1,00:36:48,,2699,4541,14433,
795978567352025088,1,00:00:29,,2775,98,182,
795979286368911361,1,00:00:18,,1500,44878,3987219,
795979715098136578,1,00:00:19,,4131,23302,331,
795981563863371780,1,00:00:11,,1092,106675,28,
795982521586642945,1,00:00:11,,3089,2550964,386,
795986140457271296,1,00:00:04,,1698,255536,100,
795987170909687808,1,00:19:15,,3259,546909,22,
795987423641497600,1,00:00:05,,1108,141312,1345,
795989643368009728,1,00:00:52,,1501,9996,667,
795990424741617664,1,00:00:10,,8170,54075,77,
795990823162744833,1,00:00:17,,5251,6580,405,
795992448132673536,1,00:00:27,,1319,22879,3,
795995953052389376,1,00:00:02,,1446,26644097,870,
795996383417434112,1,00:00:06,,1320,110260,48,
795997130003464192,1,00:00:13,,1165,141331,190,
795998148741234688,1,00:02:16,,3247,644174,938943,
795999119277953024,1,00:00:05,,3998,170958,2126,
795999397314265089,1,00:00:10,,1594,58515,6775,
796002142049943552,1,00:00:10,,1533,505306,7337,
796002312762355712,1,00:00:24,,2248,21040,974,
796004204393406468,1,00:00:13,,1941,106669,2574,
796006089858961409,1,00:03:38,,1893,64977,20,
796006585973829636,1,00:00:57,,4498,16967,455,
796008891029094407,1,00:00:26,,1445,85,20879,
796011927499481088,1,00:00:14,,1359,505304,3407,
796012874791387136,1,00:00:12,,5266,2998574,2429,
796014316449251330,1,00:00:14,,1017,24892,475,
796015543031570437,1,00:00:11,,1305,71364,652,
796015876399071232,1,00:00:24,,1489,16141,1281,
796016746901606404,1,00:00:10,,1761,132905,29,
796016965374459904,1,00:00:23,,1269,35780,194,
796019537644847104,1,00:00:51,,3320,3839,693,
796020220439695360,1,00:00:05,,2887,1041736,8471,
796020453693333504,1,00:00:58,,2076,145035,15,
796021234127474688,1,00:00:08,,4741,821254,441,
796022309744209924,1,00:00:27,,1151,3839,11813,
796023207677558784,1,00:02:42,,1118,130,770935,
796024848904552448,1,00:00:10,,1578,127660,30,
796028146239860736,1,00:00:14,,1196,88610,59,
796029711986098176,1,00:00:10,,1258,62081,125,
796032105310547968,1,00:00:38,,1937,20845,164903,
796032206238060545,1,00:00:27,,1371,12255,3990,
796032795860553728,1,00:00:15,,1107,28647,1041,
796034378719576064,1,00:00:10,,1796,1192192,924,
796034726737887236,1,00:00:40,,2839,212,5007,
796034957038776321,1,00:00:10,,8375,187171,2115,
796034967235100681,1,00:00:14,,1004,98153,115,
data1079,2,00:00:09,4.5,20484,13064644,,
data1191,2,00:01:06,33,2533,1068,,
795993284543922176,2,00:06:33,,1646,546918,46424,
796024199517118464,2,00:00:12,,2303,52622,294,
796027221290913792,2,00:00:09,,2739,723145,1552,
796027312307376128,2,00:00:15,,1288,37347,101,
796028747057139713,2,00:00:13,,1363,11482090,42,
796030582581063681,2,00:00:11,,2783,29210654,261,
796032258234810368,2,00:02:52,,5075,610,99789,
796034190613639168,2,00:00:26,,1274,16427,920,
data993,3,00:00:06,2,1084,18690,,
data1081,3,00:00:07,2.333333333,10374,4704357,,
data1204,3,00:00:10,3.333333333,17508,67297185,,
data1162,3,00:00:12,4,2149,227383,,
data826,3,00:00:16,5.333333333,1233,141079,,
795969136128049152,3,00:00:16,,1233,141325,311,
796026047598735360,3,00:00:15,,1641,71363,1115,
796028474171555840,3,01:01:45,,2071,60,359,
796030889369145344,3,00:00:06,,1084,18779,381,
data1077,4,00:00:12,3,7420,772029,,
data1207,6,00:00:15,2.5,1327,11481493,,
data1137,7,00:00:59,8.428571428,12298,14941,,
data989,8,00:00:12,1.5,22636,13052922,,
data1045,8,00:00:38,4.75,1189,407140,,
